timestamp,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41
199201,0.7029382765388842,12.0,-9.192008087101406,0.24595619370715568,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0450758202283987e-67,4.6202887787135104e-17,-1.930187093879896e-17,-0.13098062454728546,0.33769322050969497,1.0,8.0,5.0,0.0,0.5941256443611924,0.8731215274425231,0.0,0.2029154196962867,0.0,1.4901161193847656e-08,2.9331782893364076e-10,0.0,0.0,0.0,0.0,2.0,0.8129913227201466,7.0,0.0,0.1035256992415862,0.20329279612554715,-0.3750176941302372,0.3891571896253865,-0.5888948491843419,0.735348387727152,0.0
199202,0.6917043220527648,12.0,-9.55352876408122,0.25591051320571034,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.321982440145694e-68,-3.742187224132936e-17,1.5227855978209226e-17,-0.11472934918097105,0.23039277568428818,1.0,7.0,4.0,0.0,0.6536151180236267,0.8980765532350371,0.0,0.3073927458671499,0.0,1.4901161193847656e-08,2.930175978075833e-10,0.0,0.0,0.0,0.0,2.0,0.8852417699141812,7.0,0.0,0.0802056707873606,0.1119273117737897,-0.35798807936264404,0.42379539505375485,-0.5999803172817514,0.9130124219112626,0.0
199203,0.6086073161355796,12.0,-9.693213735639937,0.1674885412451079,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.5431342999409714e-67,-7.126003090635976e-17,-1.1063570273467076e-18,-0.18368503180112378,0.43000837396213176,1.0,6.0,3.0,0.0,0.5637850820441219,0.954768287099302,0.0,0.29564547186492884,0.0,1.4901220304977266e-08,2.9207214965055597e-10,0.0,0.0,0.0,0.0,2.0,0.8491953297278004,8.0,0.0,0.06964964249228878,0.22271599920404483,-0.3811908924682772,0.4416034408808214,-0.6070293064374285,0.861781290466474,0.0
199204,0.6526849057883416,12.0,-10.072609861800826,0.11836326940038149,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.4517027252512175e-67,1.8043406034282634e-16,1.5330471182557208e-17,-0.5502435372973511,0.9580436039646446,1.0,5.0,2.0,0.0,0.3831371371090285,0.37195471370537564,0.0,0.07850270458301323,0.0,1.4901161193847656e-08,2.886219768914739e-10,0.0,0.0,0.0,0.0,1.0,0.8619998254887189,7.0,0.0,0.06623981136515075,0.36358868224211927,-0.26439097485288465,0.4572340949547832,-0.4150229302364152,0.6059835375312824,0.0
199205,0.7278670950017143,12.0,-9.075955683017682,0.1339532849771571,0.0,0.0,0.0,0.0,1.0,12.0,0.0,9.432889317721607e-68,-1.6897920239647367e-16,-9.701172560140525e-18,-0.08945774131025554,0.4009012438986822,1.0,4.0,1.0,0.0,0.14702660224929448,0.5259163103782308,0.0,2.094749948683497,0.0,0.9118136652651193,0.0,0.0,0.0,0.0,0.0,2.0,0.6910802986760617,6.0,0.0,0.22202983002974713,0.4425485550738774,-0.07544425737387343,0.2759545849978448,-0.6316176717458669,0.6509244738874671,0.0
199206,0.7199203331897117,12.0,-9.180352615049516,0.2995850969058419,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.8656790459610816e-67,-1.890048445410816e-16,-1.283523492011116e-17,-0.03411757235992428,0.15280188329989522,1.0,3.0,10.0,0.0,0.25689077088574086,0.45029569267913433,0.0,1.8043984811089613,0.0,1.490123414116314e-08,2.9329705153401394e-10,0.0,0.0,0.0,0.0,2.0,0.7783279553305616,6.0,0.0,0.21879156840020478,0.32154361711785884,-0.2625727197783554,0.27426641198309015,-0.5627086230853316,0.45118572290983033,0.0
199207,0.7339330611283736,12.0,-6.436085800132421,0.46986255561973234,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.07674464013232e-68,-2.298680326593076e-16,-8.080465063311224e-18,-0.41284485289551454,0.5833773990627458,1.0,2.0,12.0,0.0,0.7582255013118476,0.42895102044897016,0.0,2.37696844351376,0.0,1.490121424489285e-08,2.9644228943733316e-10,0.0,0.0,0.0,0.0,2.0,0.7941293036861957,5.0,0.0,0.23067660359607606,0.3537946047564531,-0.5288463604827666,0.5055467486928483,-0.49722107804538695,0.4158277735470892,0.0
199208,0.736696457809783,12.0,-7.680877170884327,0.5187141747407702,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.1210810390377526e-69,4.683838490791884e-16,6.83639945944232e-18,-0.361853941440902,0.7739789868624114,1.0,1.0,12.0,0.0,0.28281674967394205,0.28451779253917503,0.0,1.779939369495155,0.0,1.490116550726391e-08,2.964800916142421e-10,0.0,0.0,0.0,0.0,2.0,0.8512632728886721,7.0,0.0,0.23774071174038405,0.3261884492039012,-0.342918954745944,0.34471569403258534,-0.4142222343722489,0.47981044556767843,0.0
199209,0.9351658090794612,12.0,-5.251331033111457,0.3922646702075689,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.9099644225958488e-126,7.395570986446986e-32,5.546678239835239e-32,-0.2953852021357741,0.33320158565584507,1.0,5.0,11.0,0.0,0.39307727085094063,0.5381775058339704,0.0,0.06610345137542574,0.0,1.490124225140174e-08,2.9470972624643253e-10,0.0,0.0,0.0,0.0,2.0,0.5347512281764103,4.0,0.0,0.46048484102055437,0.7110265720457593,-0.21114089944208417,0.7204364824565608,-0.26969798525806893,0.6817923736420068,0.0
199210,0.9344319039673255,12.0,-5.662099679081192,0.32598833830266705,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.3711624510903264,0.6886006749139252,0.0,0.3786744616154949,0.0,1.4901161193847656e-08,8.112896949352259e-09,0.0,0.0,0.0,0.0,2.0,0.5091801396141946,6.0,0.0,0.41680487229265245,0.6008540027195303,-0.04656984786140965,0.728793056793512,-0.24303330986893734,0.635356698306434,0.0
