timestamp,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41
199201,0.7059599989653575,12.0,-10.565134027841877,0.08883166310534019,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.2842974448051267e-68,-1.046694492863016e-16,5.114735802979712e-18,-0.28498801507765126,0.36554872765362306,1.0,8.0,5.0,0.0,0.2514563049334802,0.5479760918685604,0.0,0.5657043705417345,0.0,1.4901161193847656e-08,2.906429550489645e-10,0.0,0.0,0.0,0.0,2.0,0.8282362958589189,8.0,0.0,0.034107485627106,0.29744997633722164,-0.3307886080467351,0.29175624642105574,-0.5855006974852242,0.7108113206784604,0.0
199202,0.6746363450185867,12.0,-9.83160077484894,0.1295731626721867,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.418980572362758e-67,-1.1997537548699177e-16,-1.839481965049511e-18,-0.2377649065074591,0.19360462746881443,1.0,7.0,4.0,0.0,0.5737810029259451,0.9841931239154986,0.0,0.47402073565628783,0.0,1.4901161193847656e-08,2.912668391383284e-10,0.0,0.0,0.0,0.0,2.0,0.8344026206116364,7.0,0.0,0.07754672882805914,0.2453372678491849,-0.3895999070903038,0.5790550528883346,-0.6638848670341357,1.1885498711863887,0.0
199203,0.6726685290745398,12.0,-9.824781226319713,0.10538494171568785,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.4858493491003484e-69,2.238375727747318e-18,-7.657186557736438e-18,0.005563371457129419,0.3439801576828517,1.0,6.0,3.0,0.0,0.45977661030714995,1.0005394028678167,0.0,0.3781411104296002,0.0,1.4902014355251383e-08,2.8950274697198525e-10,0.0,0.0,0.0,0.0,2.0,0.8599148512126151,8.0,0.0,0.06876365605891967,0.2281303854440394,-0.37684381415541707,0.4751631443756999,-0.630250800167375,1.0049922371339288,0.0
199204,0.690075229975836,12.0,-10.130782566883516,0.1003874059964986,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.7719829772945461e-66,-1.3106099405551663e-16,2.807263991357527e-17,-0.07365290076816251,0.1732546810232428,1.0,5.0,2.0,0.0,0.4808661107185371,0.5371416381039193,0.0,0.30928457272831983,0.0,1.4901161193847656e-08,2.892664725266967e-10,0.0,0.0,0.0,0.0,2.0,0.8574296105517992,7.0,0.0,0.07789218832834179,0.25598305971799995,-0.3476167915485219,0.3875202152907798,-0.5606202422596829,0.6762413640101114,0.0
199205,0.7192712938370327,12.0,-8.485751191898474,0.10388335176055735,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.8075001155368416e-68,-7.015805520077508e-17,-4.2610451805097934e-18,-0.2535681354102432,0.5632766938263618,1.0,4.0,1.0,0.0,0.22233867934873375,0.7462433425651759,0.0,1.26626875521246,0.0,1.4901794163439713e-08,2.874562315093878e-10,0.0,0.0,0.0,0.0,2.0,0.8522036692587681,7.0,0.0,0.1185631513461884,0.2685646255647152,-0.3233769506841352,0.25452318549495623,-0.7098374887409753,0.7347600779666482,0.0
199206,0.714469156842349,12.0,-12.339286926001927,0.2267448121526801,0.0,0.0,0.0,0.0,1.0,12.0,0.0,7.678680524486613e-68,2.200124894890254e-16,-2.380550457894036e-18,-0.31027762958057026,0.4621877463264766,1.0,3.0,1.0,0.0,0.27750501239297953,0.6545527444734149,0.0,2.1595560728944605,0.0,1.4901161193847656e-08,2.93576027927998e-10,0.0,0.0,0.0,0.0,2.0,0.8668783923490265,8.0,0.0,-0.03383673656844019,0.09644635217223922,-0.4062986478556578,0.2558728628531873,-0.7119684403762212,0.7468325281451719,0.0
199207,0.6885837185732814,12.0,-10.274782565403266,0.34672293216257216,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.344606718412179e-70,-8.0870601112417e-18,-2.533162967497534e-18,-0.1345695556524881,0.4587229502984608,1.0,2.0,5.0,0.0,0.6211747916661784,0.47178124811906064,0.0,2.0361274615173124,0.0,1.4901161193847656e-08,2.931458598846554e-10,0.0,0.0,0.0,0.0,2.0,0.8610896723078639,7.0,0.0,0.02774336841684921,0.1218629410263151,-0.6537350185975064,0.6199837654041696,-0.6403380091271622,0.5922209384810887,0.0
199208,0.6550967944316843,12.0,-9.976050266084785,0.2520950832218391,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.3952789250089542e-68,-1.8808928393562348e-16,9.544052480569457e-19,-0.22854136904300568,0.5892481296397896,1.0,1.0,4.0,0.0,0.13216975272571793,0.45724616042631894,0.0,4.228362056175,0.0,1.4901161193847656e-08,2.875365149091059e-10,0.0,0.0,0.0,0.0,2.0,0.8594244500123484,8.0,0.0,-0.10829608579026313,0.11138595833934009,-0.3450580117197597,0.21689435602995003,-0.5734462857499613,0.4748238446510428,0.0
199209,0.4838114454777481,12.0,-13.520683570833604,0.1888622618015495,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.7232638165156657e-70,-2.208466449264436e-18,-1.918311935306035e-18,-0.2040159771783452,0.4104682242331313,1.0,11.0,3.0,0.0,0.8654423073828704,0.5734890966484577,0.0,3.2070065334535642,0.0,1.4901161193847656e-08,2.938823277711837e-10,0.0,0.0,0.0,0.0,1.0,0.5029260501086092,8.0,0.0,-0.3817112597215413,0.7021578184176915,-0.5272520918298612,0.9073184936025823,-0.45344307006911155,0.7414702497966825,0.0
199210,0.5718355294194557,12.0,-14.062390970723312,0.1999871562531095,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.0278001644759927e-69,5.770685997417543e-17,5.509946840208189e-19,-0.3476583784359128,0.2750980099184461,1.0,10.0,2.0,0.0,0.6637018631656366,0.6214487748211306,0.0,2.2157208721555186,0.0,1.4901161193847656e-08,2.931307770777756e-10,0.0,0.0,0.0,0.0,1.0,0.4682580260292159,8.0,0.0,-0.3558826426106648,0.7123277732475151,-0.45897746341280515,1.0083060603202194,-0.40261658428988645,0.981321164230206,0.0
